
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
55 he4+he4+he4-->p+b11 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-8.6820 prefac=0.1667 RGsymb:a+b<->c+d+e
56 p+b11-->he4+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=8.6820 prefac=1.0000 RGsymb:a+b<->c+d+e
57 p+b11-->he4+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=8.6820 prefac=1.0000 RGsymb:a+b<->c+d+e
58 p+b11-->he4+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=8.6820 prefac=1.0000 RGsymb:a+b<->c+d+e
59 he4+he4+he4-->c12 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=7.2750 prefac=0.1667 RGsymb:a+b+c<->d
60 he4+he4+he4-->c12 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=7.2750 prefac=0.1667 RGsymb:a+b+c<->d
61 c12-->he4+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-7.2750 prefac=1.0000 RGsymb:a+b+c<->d
62 c12-->he4+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-7.2750 prefac=1.0000 RGsymb:a+b+c<->d
63 n+li6-->li7 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2504 prefac=1.0000 RGsymb:a+b<->c
64 li7-->n+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2504 prefac=1.0000 RGsymb:a+b<->c
65 p+li6-->be7 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6060 prefac=1.0000 RGsymb:a+b<->c
66 be7-->p+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6060 prefac=1.0000 RGsymb:a+b<->c
67 he4+li6-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4600 prefac=1.0000 RGsymb:a+b<->c
68 he4+li6-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4600 prefac=1.0000 RGsymb:a+b<->c
69 b10-->he4+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4600 prefac=1.0000 RGsymb:a+b<->c
70 b10-->he4+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4600 prefac=1.0000 RGsymb:a+b<->c
71 d+li6-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.3816 prefac=1.0000 RGsymb:a+b<->c+d
72 n+be7-->d+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-3.3816 prefac=1.0000 RGsymb:a+b<->c+d
73 d+li6-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.0260 prefac=1.0000 RGsymb:a+b<->c+d
74 p+li7-->d+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.0260 prefac=1.0000 RGsymb:a+b<->c+d
75 he4+li6-->p+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.1260 prefac=1.0000 RGsymb:a+b<->c+d
76 he4+li6-->p+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.1260 prefac=1.0000 RGsymb:a+b<->c+d
77 p+be9-->he4+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.1260 prefac=1.0000 RGsymb:a+b<->c+d
78 p+be9-->he4+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.1260 prefac=1.0000 RGsymb:a+b<->c+d
79 he4+li7-->b11 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6640 prefac=1.0000 RGsymb:a+b<->c
80 he4+li7-->b11 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6640 prefac=1.0000 RGsymb:a+b<->c
81 b11-->he4+li7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6640 prefac=1.0000 RGsymb:a+b<->c
82 b11-->he4+li7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6640 prefac=1.0000 RGsymb:a+b<->c
83 p+li7-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.6440 prefac=1.0000 RGsymb:a+b<->c+d
84 p+li7-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.6440 prefac=1.0000 RGsymb:a+b<->c+d
85 n+be7-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.6440 prefac=1.0000 RGsymb:a+b<->c+d
86 n+be7-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.6440 prefac=1.0000 RGsymb:a+b<->c+d
